Row, Sol
169, 4.382432e-03
170, 9.572420e-04
171, 2.097233e-04
172, 4.608324e-05
173, 1.015467e-05
174, 2.243757e-06
175, 4.970957e-07
176, 1.104162e-07
177, 2.458884e-08
178, 5.489684e-09
179, 1.228745e-09
180, 2.757331e-10
181, 6.203593e-11
182, 1.399399e-11
183, 3.165201e-12
184, 7.178524e-13
185, 1.632475e-13
186, 3.722409e-14
187, 8.510079e-15
188, 1.950342e-15
189, 4.479736e-16
190, 1.030875e-16
191, 2.375526e-17
192, 5.478115e-18
193, 1.263148e-18
194, 2.909300e-19
195, 6.681458e-20
233, 1.722158e-05
234, 1.247288e-03
235, 5.162180e-04
236, 1.653058e-04
237, 4.754056e-05
238, 1.289394e-05
239, 3.372052e-06
240, 8.605802e-07
241, 2.158783e-07
242, 5.347929e-08
243, 1.312588e-08
244, 3.199321e-09
245, 7.757863e-10
246, 1.874043e-10
247, 4.514899e-11
248, 1.085762e-11
249, 2.608290e-12
250, 6.262777e-13
251, 1.503724e-13
252, 3.611641e-14
253, 8.678911e-15
254, 2.086780e-15
255, 5.019926e-16
256, 1.207836e-16
257, 2.905371e-17
258, 6.981892e-18
259, 1.674660e-18
260, 4.001991e-19
297, 4.570851e-08
298, 9.627736e-06
299, 3.577877e-04
300, 2.171103e-04
301, 9.061133e-05
302, 3.194685e-05
303, 1.022156e-05
304, 3.070909e-06
305, 8.830152e-07
306, 2.458986e-07
307, 6.684174e-08
308, 1.783381e-08
309, 4.689291e-09
310, 1.218923e-09
311, 3.139787e-10
312, 8.030077e-11
313, 2.042305e-11
314, 5.172107e-12
315, 1.305648e-12
316, 3.288326e-13
317, 8.268245e-14
318, 2.076644e-14
319, 5.211484e-15
320, 1.306973e-15
321, 3.275213e-16
322, 8.198618e-17
323, 2.048880e-17
324, 5.107512e-18
325, 1.267723e-18
361, 6.058535e-11
362, 3.703028e-08
363, 4.053474e-06
364, 1.034007e-04
365, 8.229764e-05
366, 4.219089e-05
367, 1.755667e-05
368, 6.452304e-06
369, 2.183141e-06
370, 6.964574e-07
371, 2.126635e-07
372, 6.279126e-08
373, 1.805766e-08
374, 5.085286e-09
375, 1.408160e-09
376, 3.846660e-10
377, 1.039323e-10
378, 2.783474e-11
379, 7.402343e-12
380, 1.957685e-12
381, 5.155162e-13
382, 1.353013e-13
383, 3.542089e-14
384, 9.254579e-15
385, 2.413989e-15
386, 6.286816e-16
387, 1.634416e-16
388, 4.239595e-17
389, 1.096454e-17
390, 2.822104e-18
425, -2.908581e-15
426, 5.948236e-11
427, 2.002948e-08
428, 1.522928e-06
429, 3.009389e-05
430, 2.949405e-05
431, 1.788784e-05
432, 8.562376e-06
433, 3.546925e-06
434, 1.332062e-06
435, 4.660364e-07
436, 1.545658e-07
437, 4.918062e-08
438, 1.514243e-08
439, 4.540597e-09
440, 1.332622e-09
441, 3.843198e-10
442, 1.092603e-10
443, 3.070188e-11
444, 8.545925e-12
445, 2.360746e-12
446, 6.481993e-13
447, 1.771298e-13
448, 4.822164e-14
449, 1.308861e-14
450, 3.543779e-15
451, 9.573345e-16
452, 2.580231e-16
453, 6.935632e-17
454, 1.858015e-17
455, 4.952056e-18
489, 4.238086e-18
490, -1.631546e-14
491, 3.609052e-11
492, 9.038860e-09
493, 5.384095e-07
494, 8.816558e-06
495, 1.021356e-05
496, 7.137803e-06
497, 3.856981e-06
498, 1.775424e-06
499, 7.318141e-07
500, 2.782373e-07
501, 9.947409e-08
502, 3.389024e-08
503, 1.111000e-08
504, 3.530216e-09
505, 1.093466e-09
506, 3.316646e-10
507, 9.887636e-11
508, 2.906169e-11
509, 8.443165e-12
510, 2.429919e-12
511, 6.940291e-13
512, 1.970279e-13
513, 5.566500e-14
514, 1.566604e-14
515, 4.394935e-15
516, 1.229491e-15
517, 3.430062e-16
518, 9.540144e-17
519, 2.643702e-17
520, 7.287123e-18
553, -1.225592e-20
554, 2.884105e-17
555, -2.176834e-14
556, 1.725713e-11
557, 3.674272e-09
558, 1.833727e-07
559, 2.598901e-06
560, 3.457809e-06
561, 2.730670e-06
562, 1.641825e-06
563, 8.304408e-07
564, 3.723238e-07
565, 1.526965e-07
566, 5.848035e-08
567, 2.121948e-08
568, 7.372158e-09
569, 2.472166e-09
570, 8.052227e-10
571, 2.560383e-10
572, 7.980767e-11
573, 2.447013e-11
574, 7.401940e-12
575, 2.214353e-12
576, 6.565250e-13
577, 1.932522e-13
578, 5.655823e-14
579, 1.647639e-14
580, 4.781729e-15
581, 1.383201e-15
582, 3.988716e-16
583, 1.146400e-16
584, 3.282050e-17
585, 9.345583e-18
617, 5.321230e-23
618, -9.439166e-20
619, 5.033460e-17
620, -1.812226e-14
621, 7.074083e-12
622, 1.394707e-09
623, 6.091810e-08
624, 7.704677e-07
625, 1.152504e-06
626, 1.013051e-06
627, 6.700076e-07
628, 3.690121e-07
629, 1.786263e-07
630, 7.853417e-08
631, 3.205086e-08
632, 1.232965e-08
633, 4.521720e-09
634, 1.594610e-09
635, 5.444545e-10
636, 1.809733e-10
637, 5.882780e-11
638, 1.877218e-11
639, 5.899409e-12
640, 1.830860e-12
641, 5.624323e-13
642, 1.713615e-13
643, 5.186772e-14
644, 1.561680e-14
645, 4.681915e-15
646, 1.398512e-15
647, 4.163258e-16
648, 1.234995e-16
649, 3.648659e-17
650, 1.072186e-17
681, -3.084174e-25
682, 4.515874e-22
683, -1.989746e-19
684, 5.383748e-17
685, -1.160373e-14
686, 2.575803e-12
687, 5.042601e-10
688, 1.988533e-08
689, 2.296148e-07
690, 3.798804e-07
691, 3.672230e-07
692, 2.646709e-07
693, 1.575338e-07
694, 8.182118e-08
695, 3.836207e-08
696, 1.660831e-08
697, 6.747139e-09
698, 2.602952e-09
699, 9.623877e-10
700, 3.435005e-10
701, 1.190581e-10
702, 4.026847e-11
703, 1.334532e-11
704, 4.348788e-12
705, 1.397596e-12
706, 4.441018e-13
707, 1.398355e-13
708, 4.370972e-14
709, 1.358325e-14
710, 4.201266e-15
711, 1.294295e-15
712, 3.972989e-16
713, 1.215074e-16
714, 3.700661e-17
715, 1.121218e-17
745, 2.234037e-27
746, -2.841608e-24
747, 1.106612e-21
748, -2.553593e-19
749, 4.351584e-17
750, -6.229013e-15
751, 8.422017e-13
752, 1.757498e-10
753, 6.407892e-09
754, 6.876048e-08
755, 1.242017e-07
756, 1.307509e-07
757, 1.018994e-07
758, 6.513057e-08
759, 3.610406e-08
760, 1.797007e-08
761, 8.220855e-09
762, 3.514847e-09
763, 1.422096e-09
764, 5.497532e-10
765, 2.046218e-10
766, 7.378966e-11
767, 2.591521e-11
768, 8.902976e-12
769, 3.003065e-12
770, 9.977983e-13
771, 3.274712e-13
772, 1.064106e-13
773, 3.430392e-14
774, 1.098892e-14
775, 3.502370e-15
776, 1.111575e-15
777, 3.514626e-16
778, 1.107086e-16
779, 3.472580e-17
780, 1.083852e-17
809, -1.937737e-29
810, 2.212879e-26
811, -7.904928e-24
812, 1.646093e-21
813, -2.453535e-19
814, 2.910540e-17
815, -2.925245e-15
816, 2.444843e-13
817, 5.950532e-11
818, 2.044764e-09
819, 2.068199e-08
820, 4.036496e-08
821, 4.590098e-08
822, 3.842795e-08
823, 2.623282e-08
824, 1.544901e-08
825, 8.130916e-09
826, 3.917054e-09
827, 1.757241e-09
828, 7.436370e-10
829, 2.998503e-10
830, 1.161300e-10
831, 4.348422e-11
832, 1.582874e-11
833, 5.627386e-12
834, 1.961744e-12
835, 6.728936e-13
836, 2.277762e-13
837, 7.628432e-14
838, 2.533162e-14
839, 8.355261e-15
840, 2.741097e-15
841, 8.953172e-16
842, 2.913052e-16
843, 9.442001e-17
844, 3.047521e-17
845, 9.791186e-18
847, 3.660850e-02
848, 7.916891e-03
849, 1.692919e-03
850, 3.579534e-04
851, 7.485488e-05
852, 1.548780e-05
853, 3.172287e-06
854, 6.436605e-07
855, 1.294713e-07
856, 2.583958e-08
857, 5.121293e-09
858, 1.008931e-09
859, 1.977638e-10
860, 3.860637e-11
861, 7.513135e-12
862, 1.458994e-12
863, 2.829883e-13
864, 5.487386e-14
865, 1.064704e-14
866, 2.068819e-15
867, 4.028901e-16
868, 7.869284e-17
869, 1.542595e-17
870, 3.036600e-18
871, 6.005633e-19
872, 1.193838e-19
873, 2.386102e-20
874, 4.796169e-21
875, 9.697471e-22
876, 1.838724e-22
877, 1.862042e-21
878, -1.935339e-19
879, 1.690002e-17
880, -1.226900e-15
881, 5.978025e-14
882, 1.967328e-11
883, 6.475192e-10
884, 6.245831e-09
885, 1.305995e-08
886, 1.593260e-08
887, 1.424858e-08
